refs 80
Grass_1 refs
regular_grass.png Grass_1
regular_road.png Grass_1
stump.png Grass_1
regular_bush.png Grass_1
flowerbush.png Grass_1
darkflowers.png Grass_1
darkflowersonsand.png Grass_1
cliffs.png Grass_1
pinetree.png Grass_1
grassatopcliffs.jpg Grass_1
Cliffs_1 refs
regular_grass.png Cliffs_1
regular_road.png Cliffs_1
stump.png Cliffs_1
regular_bush.png Cliffs_1
flowerbush.png Cliffs_1
darkflowers.png Cliffs_1
steepcliffs.png Cliffs_1
pinetree.png Cliffs_1
clifftop.jpg Cliffs_1
Town_G refs
regular_grass.png Town_G
regular_road.png Town_G
barrel Town_G
regular_bush.png Town_G
flowerbush.png Town_G
darkflowers.png Town_G
darkflowersonsand.png Town_G
tunnel.png Town_G
pinetree.png Town_G
grassatopcliffs?.jpg Town_G
Misc_1 refs
flowerbush.png Misc_1
treeroot.jpg Misc_1
stairs.jpg Misc_1
booksontable.png Misc_1
openbook.png Misc_1
pain.txt Misc_1
Cliffs_3 refs
adarkerroad.txt Cliffs_3
shrine refs
flowers.mp4 shrine
insideandout.docx shrine
lake.mp4 shrine
lotus.mp3 shrine
walls.png shrine
Grass_2 refs
cave_walls.jpg Grass_2
Ruins_1 refs
walls.png Ruins_1
stairs.png Ruins_1
lake.png Ruins_1
darkness.mp4 Ruins_1
Mines_1 refs
darkdwarf.txt Mines_1
Ships.avi refs
Rafts.avi refs
Pond.html refs
17 refs
questionablemural.png 17
darkagain.txt 17
shrinewalls.png 17
Castle_G refs
bigangelstatue.png Castle_G
goldenangel.txt Castle_G
townthings.txt Castle_G
Castle_C refs
throne.png Castle_C
Temple_4 refs
pottery.html Temple_4
fallenpillar.png Temple_4
Temple_5 refs
pillars.png Temple_5
black.txt Temple_5
Town_3 refs 
ports.html Town_3
earthquakes.html Town_3
fences.png Town_3
piano.mp3 Town_3
